0A9,3,123.000,"ELIZABETHTON MUN"
0A9,4,123.000,"ELIZABETHTON MUN"
0A9,12,135.675,""
0AA1,0,0,"Yakataga"
0AA1,2,122.900,"YAKATAGA"
0AA1,4,122.900,"YAKATAGA"
0AA1,11,122.500,"JUNEAU"
0AA4,0,0,"Farewell"
0AA4,2,122.900,"FAREWELL"
0AA4,4,122.900,"FAREWELL"
0AA4,10,128.100,"ANCHORAGE"
0AA4,11,122.100,"KENAI"
0AA5,0,0,"Rangeview Airstrip"
0AA5,11,123.600,"RANGEVIEW AIRSTRIP"
0AK,0,0,"Pilot Station"
0AK,2,122.900,"PILOT STATION"
0AK,4,122.900,"PILOT STATION"
0AK1,0,0,"Anderson Lake"
0AK1,11,122.800,"ANDERSON LAKE"
0AK2,0,0,"Cape Simpson"
0AK2,3,122.800,"YENTNA BEND"
0AK2,11,122.900,"YENTNA BEND STRIP"
0AK3,0,0,"Parker Lake"
0AK3,11,122.900,"PARKER LAKE"
0AK9,0,0,"Falcon Lake Strip"
0AK9,11,122.900,"FALCON LAKE STRIP"
0B1,0,0,"Bethel Regl"
0B1,2,122.900,"BETHEL REGNL"
0B1,4,122.900,"BETHEL REGNL"
0B2,0,0,"Brewer"
0B2,2,122.900,"BREWER"
0B2,4,122.900,"BREWER"
0B4,0,0,"Hartington Muni/ Bud Becker Fl"
0B4,2,122.900,"HARTINGTON MUN"
0B4,4,122.900,"HARTINGTON MUN"
0B4,10,124.100,"MINNEAPOLIS"
0B5,0,0,"Turners Falls"
0B5,3,123.000,"TURNERS FALLS"
0B5,4,123.000,"TURNERS FALLS"
0B5,10,123.750,"BOSTON"
0B7,0,0,"Warren-Sugarbush"
0B7,3,123.000,"WARREN-SUGARBUSH"
0B7,4,123.000,"WARREN-SUGARBUSH"
0B8,0,0,"Elizabeth Field"
0B8,3,122.800,"ELIZABETH"
0B8,4,122.800,"ELIZABETH"
0B8,8,125.750,"PROVIDENCE"
0B8,9,125.750,"PROVIDENCE"
0B8,10,124.850,"BOSTON"
0B8,11,122.100,"BRIDGEPORT"
0C0,0,0,"Dacy"
0C0,2,122.900,"DACY"
0C0,4,122.900,"DACY"
0C1,0,0,"Triple R"
0C1,3,122.700,"RAINBOW AIR VILLAGE"
0C1,4,122.700,"RAINBOW AIR VILLAGE"
0C2,0,0,"Hinckley"
0C2,2,123.300,"HINCKLEY"
0C2,4,123.300,"HINCKLEY"
0C4,0,0,"Pender Mun"
0C4,2,122.800,"ACTIVATE LIGHTS ONLY"
0C4,2,122.900,"PENDER MUN"
0C4,4,122.900,"PENDER MUN"
0C5,0,0,"Canadian Lakes"
0C5,2,122.900,"CANADIAN LAKES"
0C5,4,122.900,"CANADIAN LAKES"
0C7,0,0,"Grandpa's Farm-Mendota"
0C7,2,122.900,"GRANDPA'S FARM-MENDOTA"
0C7,4,122.900,"GRANDPA'S FARM-MENDOTA"
0C8,0,0,"Cushing"
0C8,3,122.700,"CUSHING"
0C8,4,122.700,"CUSHING"
0D6,0,0,"Wilber Mun"
0D6,2,122.900,"WILBER MUN"
0D6,4,122.900,"WILBER MUN"
0D7,0,0,"Ada"
0D7,3,122.800,"ADA"
0D7,4,122.800,"ADA"
0D8,0,0,"Gettysburg Muni"
0D8,3,122.800,"GETTYSBURG MUN"
0D8,4,122.800,"GETTYSBURG MUN"
0D8,10,125.100,"MINNEAPOLIS"
0E0,0,0,"Moriarty"
0E0,2,122.900,"MORIARTY"
0E0,4,122.900,"MORIARTY"
0E8,0,0,"Crownpoint"
0E8,3,122.800,"CROWNPOINT"
0E8,4,122.800,"CROWNPOINT"
0E9,0,0,"Corydon"
0E9,3,122.800,"CORYDON"
0E9,4,122.800,"CORYDON"
0F2,0,0,"Bowie Muni"
0F2,3,122.800,"BOWIE MUN"
0F2,4,122.800,"BOWIE MUN"
0F2,10,133.250,"FT WORTH"
0F3,0,0,"Spirit Lake Mun"
0F3,3,122.700,"SPIRIT LAKE MUN"
0F3,4,122.700,"SPIRIT LAKE MUN"
0F4,0,0,"Loup City Mun"
0F4,2,122.900,"LOUP CITY MUN"
0F4,4,122.900,"LOUP CITY MUN"
0F7,0,0,"Fountainhead Lodge"
0F7,2,122.800,"FOUNTAINHEAD LODGE"
0F7,2,122.900,"FOUNTAINHEAD LODGE"
0F7,4,122.900,"FOUNTAINHEAD LODGE"
0F9,0,0,"Tishomingo"
0F9,2,122.900,"TISHOMINGO"
0F9,4,122.900,"TISHOMINGO"
0G0,0,0,"North Buffalo Suburban"
0G0,3,123.000,"NORTH BUFFALO SUBURBAN"
0G0,4,123.000,"NORTH BUFFALO SUBURBAN"
0G0,8,126.500,"BUFFALO"
0G0,9,126.500,"BUFFALO"
0G3,0,0,"Tecumseh Muni"
0G3,2,122.900,"TECUMSEH MUN"
0G3,4,122.900,"TECUMSEH MUN"
0G6,0,0,"Williams County"
0G6,2,123.000,"ACTIVATE LIGHTS ONLY"
0G6,3,122.800,"WILLIAMS CO"
0G6,4,122.800,"WILLIAMS CO"
0G6,8,134.350,"TOLEDO"
0G6,9,134.350,"TOLEDO"
0G6,11,122.100,"LANSING"
0G7,0,0,"Finger Lakes Rgnl"
0G7,3,122.800,"FINGER LAKES REGL"
0G7,4,122.800,"FINGER LAKES REGL"
0G7,7,126.125,"SYRACUSE"
0G7,8,119.550,"ROCHESTER"
0G7,8,124.300,"ELMIRA"
0G7,8,126.125,"SYRACUSE"
0G7,9,126.125,"SYRACUSE"
0G7,10,133.350,"NEW YORK"
0H1,0,0,"Trego Wakeeney"
0H1,2,122.900,"TREGO WAKEENEY"
0H1,4,122.900,"TREGO WAKEENEY"
0H7,0,0,"Kahoka Mun"
0H7,2,122.900,"KAHOKA MUN"
0H7,4,122.900,"KAHOKA MUN"
0I2,0,0,"Brazil Clay County"
0I2,3,122.800,"BRAZIL CLAY CO"
0I2,4,122.800,"BRAZIL CLAY CO"
0I2,8,118.300,"HULMAN"
0I2,8,125.450,"HULMAN"
0I2,9,118.300,"HULMAN"
0I2,9,125.450,"HULMAN"
0I8,0,0,"Cynthiana-Harrison County"
0I8,2,122.900,"ACTIVATE LIGHTS ONLY"
0I8,3,122.800,"CYNTHIANA-HARRISON CO"
0I8,4,122.800,"CYNTHIANA-HARRISON CO"
0J0,0,0,"Abbeville Mun"
0J0,3,122.800,"ABBEVILLE MUN"
0J0,4,122.800,"ABBEVILLE MUN"
0J4,0,0,"Florala Muni"
0J4,3,123.000,"FLORALA MUN"
0J4,4,123.000,"FLORALA MUN"
0J4,8,133.450,"CAIRNS"
